"XOM","Exxon Mobil Corpo","11/19/2013",95.42,2.58,12.46
"BBD-B.TO","BOMBARDIER INC., ","11/19/2013",4.68,2.18,14.35
"JNJ","Johnson & Johnson","11/19/2013",94.86,2.68,21.16
"MSFT","Microsoft Corpora","11/19/2013",36.74,1.85,13.93
